年月日,10分間降水量の最大(mm),降水量の合計(mm),平均風速(m/s),最大風速(m/s),平均気温(℃),最高気温(℃),最低気温(℃)
2021/12/2,0,0,1.6,4,5.4,9.8,0.7
2021/12/3,1,1,2.2,6.1,7.7,11.3,2.6
2021/12/4,0,0,2.5,6.2,7,11.3,4.4
2021/12/5,0,0,2,4.3,5.7,9.3,2.8
2021/12/6,0,0,1.2,2.7,8.3,14.1,3.1
2021/12/7,0.5,3.5,2.5,4.3,10.2,11.9,8.6
2021/12/8,0,0,4,7.9,10.1,13.3,5.1
2021/12/9,0,0,1.7,3.7,8.9,15.5,3.8
2021/12/10,0,0,1.4,3.6,8.6,13.9,4.3
2021/12/11,0,0,1.2,3.2,9.1,15.3,3.7
2021/12/12,0,0,2.5,7.1,11,14.8,6.5
2021/12/13,0,0,2.7,5.9,7.1,11.1,2.7
2021/12/14,0,0,1.7,5,5,10,-0.6
2021/12/15,0,0,1.6,5.5,7.3,12.6,2.3
2021/12/16,1.5,12.5,1.6,3.8,9.6,14.3,3.1
2021/12/17,1,13.5,4.3,10,7.6,12.5,0.3
2021/12/18,0,0,2.9,6.9,2,5.6,-1.2
2021/12/19,0,0,3.4,7.8,3.8,8.6,-0.5
2021/12/20,0,0,2,6.6,5.6,9.7,1.4
2021/12/21,0,0,1.5,4.6,7.8,12.3,2.3
2021/12/22,0,0,2.8,5.9,5.8,11.1,2.4
2021/12/23,0,0,1.5,3.4,5.4,10.3,1.1
2021/12/24,0.5,0.5,1.3,2.3,7.2,12.7,1.5
2021/12/25,0,0,3.1,6.7,6.8,11.2,2.1
2021/12/26,0,0,3.9,8.5,1.5,4.8,-1.5
2021/12/27,0,0,3.9,8.4,0.7,4.2,-2.8
2021/12/28,0,0,1.8,5.1,3.1,7.6,0.3
2021/12/29,0,0,1.8,4.8,5.3,9.6,-0.8
2021/12/30,0,0,4.2,8.4,5.6,8.9,1.1
2021/12/31,0,0,4.6,8.2,1.5,4.4,-0.3
2022/1/1,0,0,1.9,4.9,1.4,5.3,-1.6
2022/1/2,0,0,1.7,5.1,2.1,7.2,-3.4
2022/1/3,0,0,1.9,5.6,4.7,9.5,0
2022/1/4,0,0,2,5.6,4.1,8.5,0.6
2022/1/5,0,0,2.4,5.9,2.4,5.7,-0.4
2022/1/6,0,0,1.2,3.6,3,7,1
2022/1/7,0,0,2.2,5.5,3.3,6.5,0.7
2022/1/8,0,0,1.3,4.5,2.6,8.2,-3
2022/1/9,0,0,1.4,2.9,5,11.8,-2
2022/1/10,0,0,1.6,4.7,6.7,12.4,1.9
2022/1/11,0.5,2.5,2.4,5.7,4.1,7.7,0.7
2022/1/12,0,0,2.4,5.6,1.8,5,-0.9
2022/1/13,0,0,4.4,9.1,1.6,5.4,-1.3
2022/1/14,0,0,3,5.6,1.2,5.9,-2.2
2022/1/15,0,0,1,3.3,3.1,7.9,-0.3
2022/1/16,0,0,1.8,6.8,4.3,9.3,-2
2022/1/17,0,0,3.1,8.2,3.9,8.1,0.9
2022/1/18,0,0,2.7,5.4,1.7,5.7,-0.6
2022/1/19,0,0,1.4,5.6,2.1,6,-0.6
2022/1/20,0,0,2.4,6.7,1.4,5.7,-1.3
2022/1/21,0,0,1.8,5.4,0.4,3.8,-3.2
2022/1/22,0,0,1.6,4.6,2.7,7.1,-0.2
2022/1/23,0.5,9.5,1.2,2.6,1.9,3.9,-1.2
2022/1/24,0,0,3.9,7.1,5,7.8,3.3
2022/1/25,0,0,1.3,2.8,3.7,7.1,-0.2
2022/1/26,0,0,2,5.4,4.4,9.6,-1.2
2022/1/27,0,0,1.8,4.5,5.1,8.8,1.4
2022/1/28,0,0,2.1,5.2,3.7,10.5,-1.4
2022/1/29,0,0,1.6,4.4,3.6,8,-0.6
2022/1/30,0,0,2.1,4.7,3.6,7.7,0.3
2022/1/31,0,0,1.7,4.1,2.7,7.7,-1.6
2022/2/1,0,0,2.8,8.6,3.3,7.7,-1
2022/2/2,0,0,1.9,5.7,3.4,7.6,-1.4
2022/2/3,0,0,1.9,5.2,4.2,8,1.7
2022/2/4,0,0,2.6,6.7,3,7.8,-1.5
2022/2/5,0,0,4.5,7.2,1.2,4.6,-1.3
2022/2/6,0,0,3.7,6.7,0.8,5.3,-2.9
2022/2/7,0,0,1.3,4.2,1.8,6.2,-3.2
2022/2/8,0,0,1.5,4.7,3.9,7.8,0.2
2022/2/9,0,0,2.6,4.8,4.1,9.1,-0.1
2022/2/10,0,0,1.7,4.2,4.2,8.2,2.1
2022/2/11,0,0,2,5.2,4.6,11.1,-0.4
2022/2/12,0,0,1.6,4.3,4.6,12.2,-2.1
2022/2/13,0.5,5,2,4.4,3.5,6.1,1
2022/2/14,0,0,3.6,6.4,5.6,9.6,1.1
2022/2/15,0,0,3,8.5,4.5,10.4,-1.6
2022/2/16,0,0,3.3,7.6,1.7,3.9,-1.4
2022/2/17,0,0,3.5,8,-0.2,4.2,-2.7
2022/2/18,0,0,1.7,4.2,1.6,7.7,-3.4
2022/2/19,0.5,12.5,1.4,2.6,2.1,5.4,-1.9
2022/2/20,0,0,3.4,8.4,3.1,7.8,-1.1
2022/2/21,0,0,3.6,7.3,1.1,5.7,-2.1
2022/2/22,0,0,3.3,7.1,1.5,7.4,-2.6
2022/2/23,0,0,2,5.4,0.9,6.5,-3.4
2022/2/24,0,0,1.7,5.6,1.2,7.1,-3.8
2022/2/25,0,0,2.3,6,2,8.1,-4.6
2022/2/26,0,0,2.2,4.8,3.9,9.5,-2.6
2022/2/27,0,0,2.6,5.8,7,12.6,2
2022/2/28,0,0,1.8,4.6,5.5,12.3,-1.9
2022/3/1,1.5,11,1.3,3.2,5.7,10.5,0.9
2022/3/2,0,0,1.5,4.4,7.8,11.5,5.3
2022/3/3,0,0,2.6,6.7,6,10.9,0
2022/3/4,0,0,1.7,4,5.4,9.7,0.1
2022/3/5,0,0,3.5,10.5,8.2,14.6,2
2022/3/6,0,0,3,6.8,4,9.6,0.3
2022/3/7,0,0,2.2,4.9,3.8,8.8,-0.6
2022/3/8,0,0,2.3,5.5,4.7,11.1,-0.9
2022/3/9,0,0,1.5,4.5,6.1,14,-0.5
2022/3/10,0,0,1.8,4.2,8,14.2,1.2
2022/3/11,0,0,2,5.5,9.4,15.4,2
2022/3/12,0,0,1.9,5.9,13.2,18.2,7
2022/3/13,0,0,3.9,5.8,15.2,19.2,12.4
2022/3/14,2,7.5,2.8,7.1,15.6,19.6,12.2
2022/3/15,0,0,3.1,5.6,14.7,19.3,8.2
2022/3/16,0,0,2.3,5.2,12.7,19.1,5.6
2022/3/17,0,0,4.7,7.4,11.3,16.7,8
2022/3/18,2,34.5,4.2,7.6,8.5,11.3,6.5
2022/3/19,2,8.5,2.6,4.6,7.7,11,4.2
2022/3/20,0.5,0.5,1.8,3.9,6.4,10.7,1.9
2022/3/21,0,0,1.9,5.1,8.1,12.9,3.9
2022/3/22,1,13.5,2.7,5.9,5.8,10.1,3
2022/3/23,0.5,1.5,1.7,4,6.4,11.3,1.2
2022/3/24,0,0,2.2,6.5,8.3,12.4,3.7
2022/3/25,0,0,3.2,7.3,11.3,16.5,3.4
2022/3/26,1,15.5,4.7,10.7,14.9,17.2,12.9
2022/3/27,0,0,2.7,5.8,13.4,17.6,9.6
2022/3/28,0,0,4.2,6.7,9.7,13.4,6.4
2022/3/29,0,0,1.6,3.7,9.7,14,5.5
2022/3/30,0,0,2.1,5,14.4,19.6,9.3
2022/3/31,0.5,1.5,3.2,6.7,11.9,14.5,7.3
2022/4/1,0.5,0,4.9,9.2,7.6,11.8,4
2022/4/2,0,0,1.7,4.1,6.7,11.9,1.6
2022/4/3,0,0,2.7,4.6,9.3,14.5,3.9
2022/4/4,0,0,3.4,6.3,10.7,17.9,6
2022/4/5,0,0,2.2,4.6,10.8,17.2,3.3
2022/4/6,0,0,2.4,4.6,14.1,19,10.5
2022/4/7,0,0,2.5,6.7,13.7,18.9,7
2022/4/8,0,0,2.2,4.8,13.5,18.7,7
2022/4/9,0,0,2.7,5.3,15.7,21.2,8.9
2022/4/10,0,0,2.6,5,17.3,23.6,10.5
2022/4/11,0,0,3.6,5.3,17.1,20.8,14.8
2022/4/12,0,0,3,5.7,18.7,24.7,14.6
2022/4/13,0,0,2.8,5.8,19.6,25.2,16.6
2022/4/14,2.5,9.5,3.2,5.9,16.9,21.6,13.7
2022/4/15,1.5,5.5,4.3,6.4,13.2,15.7,11.2
2022/4/16,0,0,4.3,7.3,11.1,15.4,6
2022/4/17,0,0,1.8,4.3,11.9,18.5,3.7
2022/4/18,0,0,2,5,14.6,18.8,8.8
2022/4/19,0,0,2.2,5.6,15.2,21.8,8.7
2022/4/20,0,0,2.3,5.6,15.8,22,7.5
2022/4/21,1.5,19.5,1.6,5.3,15.3,20.5,12.1
2022/4/22,0,0,2.6,4.7,16.5,20.7,13.9
2022/4/23,0,0,1.8,4.3,17.7,21.5,12.3
2022/4/24,1,7,1.7,4.1,17,18.6,15.5
2022/4/25,0,0,1.9,4.3,19.2,23.9,15.8
2022/4/26,3.5,15.5,5.6,11,19.7,21.8,17.6
2022/4/27,1.5,6.5,4.2,7,17.8,23.6,11.4
2022/4/28,0,0,3.1,6.1,16.9,23.9,10.2
2022/4/29,5.5,34.5,3.1,8.6,13.8,18.1,9.8
2022/4/30,0.5,0.5,3.2,6.1,13.1,18.8,9.1
2022/5/1,1.5,18.5,2,5.4,12.7,17.8,8.1
2022/5/2,0,0,2.4,6.5,11.6,18.2,5.5
2022/5/3,0,0,2,5.2,12.4,17.7,6.1
2022/5/4,0,0,2.6,4.7,16.3,21.9,8.8
2022/5/5,0,0,2.8,6,17.6,24,11.1
2022/5/6,0,0,2,5.5,18.7,23.7,14.7
2022/5/7,0,0,2.5,6.5,18.8,23.4,12.6
2022/5/8,0,0,4.4,6.4,15.6,21.5,11.2
2022/5/9,0,0,3.3,6,13.6,16.1,11.2
2022/5/10,0,0,2.2,4.2,16.4,22.6,8.6
2022/5/11,0.5,3,1.3,4.9,18.6,22.5,14.9
2022/5/12,1,14.5,1.4,3.5,18.7,20.6,17.2
2022/5/13,0.5,13.5,1.8,4,19,20.6,17
2022/5/14,1,7,2.5,4.9,18.3,22.3,13.4
2022/5/15,0,0,1.8,4.9,15.5,20.6,11.2
2022/5/16,0,0,1.8,4.6,15.9,19.8,11.6
2022/5/17,0,0,1.2,5.1,16.4,22.2,12.9
2022/5/18,0,0,2,5.3,17.9,23.4,10.2
2022/5/19,0,0,2.4,5.4,19.4,24.8,12.2
2022/5/20,0,0,1.9,4.6,19.4,22.6,15.8
2022/5/21,0.5,0.5,1.5,3.7,18.2,21.5,15.3
2022/5/22,1.5,1.5,2,4.5,19.2,24.2,13
2022/5/23,0,0,2.4,4.7,20.2,25.5,15.5
2022/5/24,0,0,2.6,5.2,20.5,26.1,13
2022/5/25,0,0,2.3,5,21.8,26.8,16.7
2022/5/26,1.5,6.5,3.7,7.7,20.9,24.7,17.7
2022/5/27,3,8.5,2.9,6.4,20.4,24.8,17.1
2022/5/28,0,0,2.8,7.2,21.1,25.9,14.5
2022/5/29,0,0,2.5,5,22.6,28.8,15.8
2022/5/30,1,5,2.6,6,20.3,23.9,16.6
2022/5/31,0.5,2,2.1,5.9,19.7,25.6,15.7
2022/6/1,0,0,1.4,3.3,19,24.8,11.7
2022/6/2,0,0,2.3,4.7,20.9,26.7,14.4
2022/6/3,0,0,2.7,5.4,21.5,26.5,16.3
2022/6/4,0,0,3.1,5.4,20.7,27.3,15.3
2022/6/5,1,11.5,2.4,5.4,19.2,23.6,15.8
2022/6/6,1.5,18,2.8,5.2,18.4,20.4,16.2
2022/6/7,0,0,2.6,5.1,18.2,23.3,14.3
2022/6/8,0,0,1.9,4.2,18.3,23.1,13
2022/6/9,0,0,2.6,4.5,20.7,26,14.6
2022/6/10,0,0,3.2,5.7,22.6,26.7,19.8
2022/6/11,0.5,1,2,3.8,20.7,23.3,18.2
2022/6/12,0,0,3.6,6.2,20.9,26.3,16.2
2022/6/13,0,0,2.3,4.7,20,25.1,14.6
2022/6/14,1,13,2.8,5.6,18.5,22.5,16
2022/6/15,0.5,1.5,2.1,4.7,19.7,24.1,16.3
2022/6/16,0,0,3.4,7.1,21.9,25.3,19.3
2022/6/17,0,0,3.2,6.4,23.7,28.7,20.1
2022/6/18,0.5,0.5,1.9,4.4,23.5,26.5,20.6
2022/6/19,0,0,3,4.5,23.4,27.3,20.3
2022/6/20,0,0,2.7,4.2,24.2,27.5,22.2
2022/6/21,1.5,14.5,2.4,5.6,22.7,23.6,21.9
2022/6/22,1,3.5,2,4.2,24.5,28,21.8
2022/6/23,0,0,3.8,8,26.3,30.8,23.4
2022/6/24,0,0,7.1,9.5,25.5,27.9,24
2022/6/25,0,0,3.3,6.1,25.5,30.2,22.9
2022/6/26,0,0,3.1,7.5,25.4,29.1,22.3
2022/6/27,0,0,2.9,5.5,26.6,31,23.6
2022/6/28,0,0,5.3,7.9,26.4,30.6,24
2022/6/29,0,0,4.2,6.3,26.7,30.7,23.8
2022/6/30,0,0,2.3,5,28,32.1,23.8
2022/7/1,0,0,2.2,5.1,29.1,35.2,23.5
2022/7/2,0,0,2.6,5,28,32.5,24.4
2022/7/3,1,4,4.3,7.8,25.8,28,24.5
2022/7/4,0.5,3,2.1,3.7,25,27.1,23.7
2022/7/5,3,13,2,5.7,25.5,30,23.4
2022/7/6,0.5,0.5,2,4.3,27.7,33.4,24.3
2022/7/7,0,0,2.4,5.3,27.4,33,22.9
2022/7/8,0,0,2.2,5.1,26,27.8,24.1
2022/7/9,3,4.5,4.2,6.2,26.4,29.7,24.2
2022/7/10,2.5,8,2.4,4.8,26.6,30.4,23.9
2022/7/11,0,0,2.4,4.5,27.2,30.9,24.8
2022/7/12,15,53.5,2.4,5.4,25.5,28,23.4
2022/7/13,0,0,2,4.7,25.4,29.5,22
2022/7/14,0.5,3,2.2,5.4,24.2,25.8,22.4
2022/7/15,0,0,2.7,5.6,25.7,29.2,23.2
2022/7/16,2.5,3,2.1,5.1,25.3,27.9,23.5
2022/7/17,0,0,2.6,5.7,25.9,29.4,22.9
2022/7/18,1,4.5,3.8,7.5,26.4,30.7,23.6
2022/7/19,12.5,53.5,3.8,7.4,25.6,26.6,24.4
2022/7/20,0,0,1.8,4.2,26.8,30.3,23.4
2022/7/21,6.5,15.5,2.8,7.4,26.1,29.2,23
2022/7/22,3.5,0,3.6,6.8,25.9,28.4,23.7
2022/7/23,0.5,0.5,1.9,3.7,24.9,29.5,21.4
2022/7/24,0,0,2.8,6.8,25.7,30.7,19.6
2022/7/25,0,0,2.3,5.4,27.9,31.9,25
2022/7/26,0,0,2,4,29.4,34.9,25
2022/7/27,0,0,2.5,5.6,27.8,31.7,25
2022/7/28,0,0,2.1,4.9,28.6,32.6,24.4
2022/7/29,0.5,0.5,1.9,5.5,29.1,34.1,25
2022/7/30,0,0,3.3,7.2,28.6,33.1,24.8
2022/7/31,0,0,3.7,6,28.5,31.7,25.7
2022/8/1,0,0,4.6,7.8,28.5,32.1,26.1
2022/8/2,0,0,3,5.5,28.9,32.4,25.6
2022/8/3,0.5,1,2.6,6.7,28.1,33.2,25.2
2022/8/4,0,0,2.3,6.7,27.6,31.8,24.4
2022/8/5,16.5,24.5,1.5,7.2,27,31.7,23.6
2022/8/6,0,0,2.2,4.7,27.3,31.7,24
2022/8/7,0,0,3,5.7,28.6,32.5,25.7
2022/8/8,0,0,3.6,5.6,29,32.5,26.6
2022/8/9,0,0,3.6,5.4,29.2,32.7,26.9
2022/8/10,0,0,3.5,6,29.1,32.9,26.6
2022/8/11,0,0,3.9,5.9,29.3,32.8,26.8
2022/8/12,0,0,2.5,5,29,32.4,26.4
2022/8/13,0,0,2.4,5.5,28.6,31.9,25.2
2022/8/14,0,0,3.3,5.8,28.5,31.3,26.5
2022/8/15,0,0,3.1,6.9,29,33.3,26.2
2022/8/16,2,2,3.6,7.2,28.8,32.4,26
2022/8/17,15.5,45,2.1,5.2,26.3,29,24
2022/8/18,1.5,7.5,3,6,25.3,29,21.3
2022/8/19,0,0,2.4,5.2,25.8,29.9,21.2
2022/8/20,7,12.5,2.3,5.9,27.6,31.1,24.3
2022/8/21,1,4.5,2.1,5.1,26.4,30.2,24.6
2022/8/22,0,0,2.3,5,27.9,32.4,23.9
2022/8/23,0,0,1.9,4.2,28.5,30.9,25.9
2022/8/24,0.5,0.5,2.9,4.6,26.2,29.5,23.8
2022/8/25,0,0,2,4.9,26.5,31.3,23.2
2022/8/26,0,0,2.1,4.4,26.6,30.2,23.9
2022/8/27,0,0,2.3,5.2,26.5,30,23.8
2022/8/28,0,0,3.6,5.4,24.4,28.9,20.2
2022/8/29,0,0,1.7,3.8,25.2,30.8,18.8
2022/8/30,1,3.5,1.4,3.2,25,27.4,22.7
2022/8/31,0,0,4.1,9,27.9,31.5,24.3
2022/9/1,6,18,3.2,5.8,25.4,29.2,21.7
2022/9/2,0.5,0.5,3.3,6.2,25.2,31.4,21.3
2022/9/3,0,0,2.1,4.9,26.5,31.4,22.4
2022/9/4,0,0,2.2,5.6,27.3,32.1,22.7
2022/9/5,0,0,3.3,7.5,27.7,31.4,23
2022/9/6,0,0,6.2,12,27.3,30.9,21.4
2022/9/7,0.5,0.5,4,6.2,24.8,29.9,21.1
2022/9/8,0,0,3.2,5.9,24,28.2,22.1
2022/9/9,0.5,2,2.7,4.3,24.4,28.3,21.6
2022/9/10,0,0,3.4,5.5,25.9,30.7,22.8
2022/9/11,0,0,1.6,3.8,26.9,31.3,22.4
2022/9/12,0,0,1.6,3.3,28,33.6,23.2
2022/9/13,0,0,3.1,5.1,28.2,34.7,23.3
2022/9/14,0,0,3.7,5.4,27.5,33.1,23.9
2022/9/15,0,0,1.7,4.7,27,32.5,22.8
