年月日,10分間降水量の最大(mm),降水量の合計(mm),平均風速(m/s),最大風速(m/s),平均気温(℃),最高気温(℃),最低気温(℃)
2023/12/13,0,0,2.6,5.4,9.1,13.6,5.4
2023/12/14,0.5,1,1.3,3.2,9.5,14.8,3.4
2023/12/15,0.5,2.5,2.1,5.6,13.7,18.4,9
2023/12/16,1,5.5,4,8.3,13.1,16.3,7
2023/12/17,0,0,4.6,8.6,3,7,-0.4
2023/12/18,0,0,1.8,4.7,3.1,7.8,-1.5
2023/12/19,0,0,1.1,3.4,4.9,7.3,2.2
2023/12/20,0,0,2,6.7,4.7,9.3,0.7
2023/12/21,0,0,3.2,7.1,1.6,4.2,-1.9
2023/12/22,0,0,3.8,7.8,-0.1,3.3,-3.2
2023/12/23,0,0,2,5.3,1.6,7.1,-2.9
2023/12/24,0,0,1.9,5.7,3.9,8.4,0
2023/12/25,0,0,2.2,5.4,4.6,9.3,0.1
2023/12/26,0,0,1.8,5.9,4.3,9.3,-0.5
2023/12/27,0,0,1.6,3.8,7.2,12.1,4.2
2023/12/28,0,0,1.8,4.3,6.3,11.4,1.6
2023/12/29,0,0,1.5,3.5,6.9,12.5,2.9
2023/12/30,0,0,1.6,3.5,7.1,12.9,0.4
2023/12/31,0,0,2.7,6.8,9.5,11.6,6.8
2024/1/1,0,0,2.7,6.6,6.5,10,1.9
2024/1/2,0,0,1.5,3.3,4.3,10.4,-1.2
2024/1/3,0,0,1.6,3.1,7.4,10.9,2.5
2024/1/4,0,0,2.6,5.1,6.9,11.1,2.4
2024/1/5,0,0,2.2,6,6.1,10.5,0.4
2024/1/6,0,0,2.5,4.2,8.8,13.1,5.7
2024/1/7,0,0,3.2,6.9,4.5,8.4,1.1
2024/1/8,0,0,1.9,5.1,1.7,6.1,-1.9
2024/1/9,0,0,1.7,4.6,3.4,8.2,-2.6
2024/1/10,0,0,2.5,6.2,4.6,8.5,0.3
2024/1/11,0,0,2.3,4.8,5.4,10,2.8
2024/1/12,0,0,1.8,5.8,6.6,10.2,2.5
2024/1/13,0,0,2.7,8.8,4.2,11.3,0.7
2024/1/14,0,0,1.5,4.4,2.6,8.3,-2.8
2024/1/15,0.5,0.5,2.8,7.3,4.3,7.1,1.2
2024/1/16,0,0,2.5,5.9,2.6,5.7,0.2
2024/1/17,0,0,1.5,3.4,3.8,9.5,-2.8
2024/1/18,0.5,1.5,1.2,2.4,7.5,10,4.8
2024/1/19,0.5,0.5,3.7,6.7,8.3,11,5.6
2024/1/20,0.5,0.5,2.8,4.7,8.2,10.8,5.7
2024/1/21,1.5,8,3.1,6.4,9.7,12.7,6.4
2024/1/22,0,0,2.1,6,7.4,10.4,4.9
2024/1/23,0,0,5.1,7.4,2.2,5.3,-1.2
2024/1/24,0,0,4.8,8.2,-0.2,4.9,-2.7
2024/1/25,0,0,1.8,5.3,0.7,5.2,-3.4
2024/1/26,0,0,1.8,3.8,2.9,6.8,-0.6
2024/1/27,0,0,1.4,3.7,4.3,8.9,0.6
2024/1/28,1,2,1.5,4.4,4.1,9.8,0.3
2024/1/29,0,0,1.4,4.3,4.4,9.7,0.3
2024/1/30,0,0,1.4,4.2,4.9,11.3,-1.3
2024/1/31,1,3,1.3,2.5,7.1,11.1,2
2024/2/1,0.5,1,3,7.1,6.9,9.9,2.4
2024/2/2,0,0,3.3,6.4,3.2,6.9,0.2
2024/2/3,0.5,1,2.5,5,4.5,8.6,0.3
2024/2/4,0.5,0.5,2.9,6.1,5,9.3,2.6
2024/2/5,1.5,10,3.5,6.9,3.8,5.5,2.1
2024/2/6,0,0,2.1,6.2,4.6,9.2,1.3
2024/2/7,0,0,1.8,4.6,3.3,10.1,-1.5
2024/2/8,0,0,2,5.1,3.7,7.7,-1
2024/2/9,0,0,1.6,4.9,4.3,10.4,-0.7
2024/2/10,0,0,2.2,6.7,4.5,10,-1.2
2024/2/11,0,0,1.8,5.1,3.5,8.1,-1.5
2024/2/12,0,0,2,5,4.5,10.6,0.5
2024/2/13,0,0,1.6,5.1,6.5,13.6,-0.7
2024/2/14,0,0,1.6,3.7,10.8,17,4
2024/2/15,2.5,4,4.1,8.7,13.4,15.5,9.4
2024/2/16,0,0,3.7,7.4,5.5,11.4,1.3
2024/2/17,0,0,1.4,3.3,5.5,12.5,-1
2024/2/18,0,0,1.6,5.2,11.5,15.5,6.5
2024/2/19,1.5,14,4.3,8.6,14.9,16.3,10.4
2024/2/20,0,0,3.4,6.6,12.6,15.8,9.3
2024/2/21,2.5,19.5,3.9,5.7,8.3,10,6.5
2024/2/22,1,6,4.2,6.8,6.5,8.5,4.3
2024/2/23,0.5,1.5,2.8,6.5,4.5,7.3,1.7
2024/2/24,0,0,3.2,6.6,4.7,9.5,0.2
2024/2/25,1,15,2.5,5,5.1,8.1,2.7
2024/2/26,0,0,3.7,8.4,5.1,10,2.6
2024/2/27,0,0,4.3,8.2,4.6,8,1.8
2024/2/28,0,0,3.2,5.7,6.3,11.7,3.2
2024/2/29,1.5,21,2.7,6.4,5.9,9.7,2.5
2024/3/1,0.5,0.5,3.1,6.6,7.1,13.2,2.4
2024/3/2,0,0,2.3,5.8,2.2,6.6,-0.7
2024/3/3,0,0,2.5,6.9,3.6,8.8,-2.1
2024/3/4,0,0,2.5,5.9,7.8,12.5,2.1
2024/3/5,1,19,3.5,6.9,5.6,7.2,5
2024/3/6,0.5,1,4.5,7.7,6.4,7.9,5
2024/3/7,0,0,2.5,4.5,5.7,9.9,3.5
2024/3/8,0,0,3.4,7.9,5.3,11.1,1.5
2024/3/9,0,0,2.2,5.5,2.7,7.1,-0.4
2024/3/10,0,0,1.9,4.8,3.1,9.2,-2.1
2024/3/11,0,0,1.9,4.4,6.2,12.5,-1.8
2024/3/12,1,20,2.5,5.8,7.6,10.6,5.3
2024/3/13,0,0,2.2,4.9,6.7,11.4,2.8
2024/3/14,0,0,2.2,6.4,6.8,12.4,-0.2
2024/3/15,0,0,2.3,6.6,8.5,15.2,1.1
2024/3/16,0,0,1.9,5.6,10.6,17.4,2.3
2024/3/17,1,3.5,1.8,4.5,10.8,14.6,7.8
2024/3/18,0,0,4.2,7.4,6.5,10.4,1.9
2024/3/19,0,0,2.7,5.6,6.3,10.8,0.7
2024/3/20,0.5,1.5,5.1,9,5.1,10.1,-0.2
2024/3/21,0.5,0.5,1.8,4.7,1.7,6.5,-1.7
2024/3/22,0,0,1.8,5.4,4.9,10.4,-1.2
2024/3/23,1,13.5,1.8,4.6,8.5,11.6,5.1
2024/3/24,0.5,1.5,2.5,5.3,11,13.3,8.8
2024/3/25,3,24.5,2.1,4.8,11.4,14.1,9.6
2024/3/26,5,38.5,4.1,8.6,8.7,11.8,6
2024/3/27,0,0,3.1,5.7,9.2,15,4.8
2024/3/28,1.5,11.5,2.8,5.9,10.5,16.1,3.2
2024/3/29,3.5,10,4.7,9.5,15.4,18.8,11.8
2024/3/30,0,0,3.2,5.7,15.4,19.5,11.1
2024/3/31,0,0,2.4,4.9,16.4,20.5,12.7
2024/4/1,0,0,3.6,8,14.7,21.6,9.6
2024/4/2,0,0,2.1,4.1,13.3,18.9,6.2
2024/4/3,4.5,31,2.1,4,14.3,16.5,12.5
2024/4/4,0.5,0.5,3.1,5.6,13.7,16.3,9.6
2024/4/5,0,0,3,5.7,12.3,18.2,9
2024/4/6,0,0,1.9,4.3,13.5,19.5,6.8
2024/4/7,0,0,1.6,4,16.2,21.6,11.1
2024/4/8,2.5,15.5,1.7,3.6,16.4,21.3,13
2024/4/9,2.5,33,5,7.9,11.7,15.7,6.5
2024/4/10,0,0,2.3,5,10.4,16.4,3.4
2024/4/11,0,0,2.3,6.8,14.1,19,7.5
2024/4/12,0,0,2.5,5.6,15.8,21.7,9.8
2024/4/13,0,0,2.1,4.7,16.2,22.5,10.1
2024/4/14,0,0,2.5,5.8,16.6,23.2,9.7
2024/4/15,0,0,3.7,6.9,17.4,21.4,13.4
2024/4/16,4.5,10,4.2,8.2,18.1,22.5,14.5
2024/4/17,1,2.5,2.2,4.9,18.3,24.2,14.9
2024/4/18,0,0,3.5,6.4,15.8,19.9,11.9
2024/4/19,0,0,2,5.7,15.7,20.9,9.3
2024/4/20,0,0,2.1,5.5,17.5,23,10.2
2024/4/21,1,14,2.1,6.6,16.5,18.2,15.6
2024/4/22,0,0,2,4.4,18.1,21.6,15.4
2024/4/23,0.5,2,2.3,4,17.2,20.1,15.1
2024/4/24,2,5.5,1.8,4,17.4,20.6,15.3
2024/4/25,0,0,2,4.9,16.7,21.6,12
2024/4/26,0,0,1.7,4.2,17.4,22.2,11.7
2024/4/27,0,0,1.2,3.3,17.8,21.8,15.6
2024/4/28,0,0,2.3,5.4,19.1,24.9,12.7
2024/4/29,1,14,2.1,3.9,18.8,22.5,16.8
2024/4/30,1.5,6.5,2,4.5,18.3,23.3,16.4
2024/5/1,0.5,3,3.5,5.5,13.3,16.5,11.1
2024/5/2,0,0,2.3,5.6,14.5,21,9.2
2024/5/3,0,0,2,4.1,16.1,22.2,10.1
2024/5/4,0,0,2.3,4.7,18.1,25,11
2024/5/5,0,0,4.7,8.6,19.1,23.6,14.8
2024/5/6,1,12.5,3.8,6,18.9,20.7,16.9
2024/5/7,1,12,3.5,6.8,18.5,21.6,15.9
2024/5/8,0,0,3.9,7,14.2,18.2,10.3
2024/5/9,0,0,3.4,6.5,13.4,18.8,9.8
2024/5/10,0,0,2.7,5.3,15.1,21.5,6.4
2024/5/11,0,0,4.9,9.2,18.5,23.1,13.5
2024/5/12,1,13,4.4,8.2,19.3,21.3,17.2
2024/5/13,2.5,26.5,3.4,7.8,14.6,18.5,10.7
2024/5/14,0,0,2.2,5.7,15.7,21.8,7.5
2024/5/15,0,0,1.4,2.8,18.1,22.2,14.4
2024/5/16,1,1.5,5.7,12.2,15.8,18.4,11.9
2024/5/17,0,0,2.8,6.7,17.6,22.5,11.6
2024/5/18,0,0,2.3,4.1,19.9,26,11.3
2024/5/19,1,4,2,4.9,16.9,19.3,13.9
2024/5/20,0.5,2,1.8,5.2,18.4,22.9,13.7
2024/5/21,0,0,4,6,18.9,24.3,14.3
2024/5/22,0,0,2.5,4.3,18.2,23.6,12.3
2024/5/23,0,0,1.9,4.7,19.9,23.6,16.8
2024/5/24,0,0,2.5,6.9,20.2,25.5,15.7
2024/5/25,0,0,3.5,5.7,18.6,25.2,13.9
2024/5/26,0,0,4.2,8.3,19.4,25.6,12
2024/5/27,1.5,14,4.3,7.6,21.8,25.9,18.3
2024/5/28,5.5,123,3.2,7.5,16.8,22.1,13.9
2024/5/29,0,0,2.4,5.4,17.3,23.8,12.4
2024/5/30,0,0,2.3,5.5,18.8,25,11.4
2024/5/31,0.5,1.5,1.7,5,17.5,19.7,14.7
2024/6/1,0.5,0.5,1.8,4.6,18.2,24,12.2
2024/6/2,1,3,2.5,5.4,19,23.3,15.9
2024/6/3,0,0,2.7,5.2,18.4,24,13.5
2024/6/4,0,0,3.1,5.7,18.3,23.4,13.8
2024/6/5,0,0,3,5.3,19.7,26.6,13.9
2024/6/6,0,0,1.9,4.3,19.9,23.7,14.7
2024/6/7,0,0,2,5.3,22.1,27.8,17.4
2024/6/8,0.5,1.5,2.8,6.3,21.9,26.2,17.1
2024/6/9,1,12,1.8,5.1,19.1,20.9,17.7
2024/6/10,1,2,2.4,4.5,20.9,24.5,17.2
2024/6/11,0,0,2.5,5.5,22.1,27.1,17.8
2024/6/12,0,0,2.4,4.1,23.4,28.1,19
2024/6/13,0,0,2.2,5.6,24.2,29.5,19.9
2024/6/14,0,0,2.5,5,25.1,30.9,20.4
2024/6/15,0,0,2.4,5.7,23.8,28,20.9
2024/6/16,0,0,2.5,5.6,24.1,28.5,21.2
2024/6/17,1,4.5,1.5,2.7,23,26,19.4
2024/6/18,4.5,48.5,2.2,4.6,20.7,25.4,18.2
2024/6/19,0,0,1.8,5,23.3,28.5,16.2
2024/6/20,0,0,2.6,7,22.9,25.7,20.2
2024/6/21,1.5,21.5,3,6.6,21.8,27.2,17.9
2024/6/22,3,21.5,2.5,5.8,22.4,25.9,19
2024/6/23,3.5,30,3.7,8.1,24.2,26.2,23.4
2024/6/24,0,0,2.7,4.8,24.1,26.2,22.9
2024/6/25,0,0,2.8,4.8,24.2,25.8,22.7
2024/6/26,0,0,1.6,3.9,24.1,27.8,21.8
2024/6/27,1,4,1.8,3.8,22.4,24.5,20
